epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,574.459,1.18145,4.01083,1.47555,0.81542,0.18056,0.20281,0.17379,0.82854,6.11421,1.02522,3.213e-05,3.213e-05,3.213e-05
2,1311.06,0.94424,2.62661,1.24898,0.76407,0.2178,0.30494,0.26012,0.74872,2.71347,1.00476,6.33532e-05,6.33532e-05,6.33532e-05
3,2855.72,0.90993,2.09446,1.21609,0.49856,0.51042,0.51121,0.41762,0.74887,2.34683,1.05542,8.9864e-05,8.9864e-05,8.9864e-05
4,3431.78,0.91421,1.75995,1.22268,0.6466,0.35069,0.2962,0.23271,1.04618,3.76701,1.34104,0.000111662,0.000111662,0.000111662
5,3997.47,0.86919,1.71194,1.19956,0.63802,0.32592,0.47788,0.38688,0.91937,1.89945,1.23867,0.000128748,0.000128748,0.000128748
6,4554.31,0.85814,1.68002,1.17047,0.55436,0.375,0.32422,0.22897,1.136,2.3647,1.49561,0.000141122,0.000141122,0.000141122
7,5108.67,0.88488,1.65357,1.22272,0.74564,0.31617,0.43413,0.30927,0.85765,2.7502,1.18299,0.000148783,0.000148783,0.000148783
8,5667.68,0.99249,1.50725,1.2998,0.55307,0.31517,0.32327,0.24315,1.01915,2.81489,1.29161,0.000151732,0.000151732,0.000151732
9,6231.51,0.83737,1.28087,1.16212,0.90165,0.35791,0.41974,0.31376,0.86995,2.53524,1.14288,0.000149969,0.000149969,0.000149969
10,6797.54,0.8331,1.15068,1.1729,0.69276,0.52431,0.5654,0.43038,0.90221,2.39984,1.18038,0.000143493,0.000143493,0.000143493
11,7360.79,0.77221,1.10354,1.13233,0.74519,0.43495,0.58481,0.46022,0.85519,2.36481,1.14085,0.00012138,0.00012138,0.00012138
12,7913.85,0.79106,0.95375,1.1269,0.62815,0.49653,0.55976,0.44712,0.76389,1.73581,1.05503,9.7818e-05,9.7818e-05,9.7818e-05
13,8468.08,0.78733,0.95419,1.15004,0.69295,0.49345,0.57561,0.47824,0.71794,1.67689,1.03007,7.4256e-05,7.4256e-05,7.4256e-05
14,9022.34,0.69685,0.84941,1.04597,0.74158,0.42602,0.55687,0.44858,0.73988,1.71937,1.04981,5.0694e-05,5.0694e-05,5.0694e-05
15,9580.45,0.73318,0.80101,1.08667,0.48489,0.51164,0.54547,0.43171,0.76715,1.64036,1.06282,2.7132e-05,2.7132e-05,2.7132e-05
